SMILES,docking_score_kcal_mol,selectivity_note
O=C(NC[C@H]1COCCN1c1cncc(-c2nn[nH]n2)n1)c1nc2ncccn2n1,-7.439,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
O=C1N[C@@H](C(=O)N[C@@H]2CCCN(c3ccnc(-c4nn[nH]n4)n3)C2)CO1,-7.228,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
O=C(NC[C@H]1CCN(c2cncc(-c3nn[nH]n3)n2)C1)c1ccn2nnnc2c1,-7.825,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
O=C(NC[C@H]1COCCN1c1cncc(-c2nn[nH]n2)n1)c1ccnc2[nH]nnc12,-7.799,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
O=C(NCC(=O)N1CC[C@H]2CCN(c3ccnc(-c4nn[nH]n4)n3)[C@H]2C1)[C@H]1CCCN1,-7.13,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
O=C(NC[C@H]1CCN(c2cncc(-c3nn[nH]n3)n2)C1)c1c[nH]c(-c2nn[nH]n2)c1,-7.557,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
O=C(NC[C@H]1COCCN1c1cncc(-c2nn[nH]n2)n1)c1cnnc(O)c1,-7.008,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
O=C(NC[C@@H]1CCCN(c2cncc(-c3nn[nH]n3)n2)C1)[C@@H]1CCc2nn[nH]c2C1,-7.837,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
O=C(NC[C@@H]1CCCN1c1cncc(-c2nn[nH]n2)n1)c1c[nH]c(-c2nn[nH]n2)c1,-7.159,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
Cc1nonc1CC(=O)N[C@H]1CCCN(c2cncc(-c3nn[nH]n3)n2)C1,-7.061,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
O=C(NC[C@@H]1CCN(c2ccnc(-c3nn[nH]n3)n2)C1)c1ccc2nn[nH]c2n1,-8.058,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
O=C(NC[C@@H]1COCCN1c1cncc(-c2nn[nH]n2)n1)c1cnnc(O)c1,-7.016,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
